|                      Task                       |Version| Metric |Value |   |Stderr|
|                                                 |       |acc_norm|0.3000|±  |0.0461|
|hendrycksTest-high_school_biology                |      1|acc     |0.3065|±  |0.0262|
|                                                 |       |acc_norm|0.3065|±  |0.0262|
|hendrycksTest-high_school_chemistry              |      1|acc     |0.2562|±  |0.0307|
|                                                 |       |acc_norm|0.2562|±  |0.0307|
|hendrycksTest-high_school_computer_science       |      1|acc     |0.2000|±  |0.0402|
|                                                 |       |acc_norm|0.2000|±  |0.0402|
|hendrycksTest-high_school_european_history       |      1|acc     |0.2545|±  |0.0340|
|                                                 |       |acc_norm|0.2545|±  |0.0340|
|hendrycksTest-high_school_geography              |      1|acc     |0.3232|±  |0.0333|
|                                                 |       |acc_norm|0.3232|±  |0.0333|
|hendrycksTest-high_school_government_and_politics|      1|acc     |0.3264|±  |0.0338|
|                                                 |       |acc_norm|0.3264|±  |0.0338|
|hendrycksTest-high_school_macroeconomics         |      1|acc     |0.3590|±  |0.0243|
|                                                 |       |acc_norm|0.3590|±  |0.0243|
|hendrycksTest-high_school_mathematics            |      1|acc     |0.2481|±  |0.0263|
|                                                 |       |acc_norm|0.2481|±  |0.0263|
|hendrycksTest-high_school_microeconomics         |      1|acc     |0.3319|±  |0.0306|
|                                                 |       |acc_norm|0.3319|±  |0.0306|
|hendrycksTest-high_school_physics                |      1|acc     |0.2583|±  |0.0357|
|                                                 |       |acc_norm|0.2583|±  |0.0357|
|hendrycksTest-high_school_psychology             |      1|acc     |0.3450|±  |0.0204|
|                                                 |       |acc_norm|0.3450|±  |0.0204|
|hendrycksTest-high_school_statistics             |      1|acc     |0.4491|±  |0.0339|
|                                                 |       |acc_norm|0.4491|±  |0.0339|
|hendrycksTest-high_school_us_history             |      1|acc     |0.2451|±  |0.0302|
|                                                 |       |acc_norm|0.2451|±  |0.0302|
|hendrycksTest-high_school_world_history          |      1|acc     |0.2363|±  |0.0277|
|                                                 |       |acc_norm|0.2363|±  |0.0277|
|hendrycksTest-human_aging                        |      1|acc     |0.1480|±  |0.0238|
|                                                 |       |acc_norm|0.1480|±  |0.0238|
|hendrycksTest-human_sexuality                    |      1|acc     |0.2748|±  |0.0392|
|                                                 |       |acc_norm|0.2748|±  |0.0392|
|hendrycksTest-international_law                  |      1|acc     |0.1570|±  |0.0332|
|                                                 |       |acc_norm|0.1570|±  |0.0332|
|hendrycksTest-jurisprudence                      |      1|acc     |0.2407|±  |0.0413|
|                                                 |       |acc_norm|0.2407|±  |0.0413|
|hendrycksTest-logical_fallacies                  |      1|acc     |0.3067|±  |0.0362|
|                                                 |       |acc_norm|0.3067|±  |0.0362|
|hendrycksTest-machine_learning                   |      1|acc     |0.2232|±  |0.0395|
|                                                 |       |acc_norm|0.2232|±  |0.0395|
|hendrycksTest-management                         |      1|acc     |0.3107|±  |0.0458|
|                                                 |       |acc_norm|0.3107|±  |0.0458|
|hendrycksTest-marketing                          |      1|acc     |0.2564|±  |0.0286|
|                                                 |       |acc_norm|0.2564|±  |0.0286|
|hendrycksTest-medical_genetics                   |      1|acc     |0.2900|±  |0.0456|
|                                                 |       |acc_norm|0.2900|±  |0.0456|
|hendrycksTest-miscellaneous                      |      1|acc     |0.2018|±  |0.0144|
|                                                 |       |acc_norm|0.2018|±  |0.0144|
|hendrycksTest-moral_disputes                     |      1|acc     |0.2543|±  |0.0234|
|                                                 |       |acc_norm|0.2543|±  |0.0234|
|hendrycksTest-moral_scenarios                    |      1|acc     |0.2380|±  |0.0142|
|                                                 |       |acc_norm|0.2380|±  |0.0142|
|hendrycksTest-nutrition                          |      1|acc     |0.2614|±  |0.0252|
|                                                 |       |acc_norm|0.2614|±  |0.0252|
|hendrycksTest-philosophy                         |      1|acc     |0.3055|±  |0.0262|
|                                                 |       |acc_norm|0.3055|±  |0.0262|
|hendrycksTest-prehistory                         |      1|acc     |0.2623|±  |0.0245|
|                                                 |       |acc_norm|0.2623|±  |0.0245|
|hendrycksTest-professional_accounting            |      1|acc     |0.2837|±  |0.0269|
|                                                 |       |acc_norm|0.2837|±  |0.0269|
|hendrycksTest-professional_law                   |      1|acc     |0.2477|±  |0.0110|
|                                                 |       |acc_norm|0.2477|±  |0.0110|
|hendrycksTest-professional_medicine              |      1|acc     |0.4412|±  |0.0302|
|                                                 |       |acc_norm|0.4412|±  |0.0302|
|hendrycksTest-professional_psychology            |      1|acc     |0.2386|±  |0.0172|
|                                                 |       |acc_norm|0.2386|±  |0.0172|
|hendrycksTest-public_relations                   |      1|acc     |0.3273|±  |0.0449|
|                                                 |       |acc_norm|0.3273|±  |0.0449|
|hendrycksTest-security_studies                   |      1|acc     |0.3918|±  |0.0313|
|                                                 |       |acc_norm|0.3918|±  |0.0313|
|hendrycksTest-sociology                          |      1|acc     |0.2836|±  |0.0319|
|                                                 |       |acc_norm|0.2836|±  |0.0319|
|hendrycksTest-us_foreign_policy                  |      1|acc     |0.3100|±  |0.0465|
|                                                 |       |acc_norm|0.3100|±  |0.0465|
|hendrycksTest-virology                           |      1|acc     |0.2410|±  |0.0333|
|                                                 |       |acc_norm|0.2410|±  |0.0333|
|hendrycksTest-world_religions                    |      1|acc     |0.2865|±  |0.0347|
|                                                 |       |acc_norm|0.2865|±  |0.0347|

